full_name,eccentricity,inclination (deg),node (deg),perihelion arg (deg),perihelion distance (au),aphelion distance (au),data_arc,condition_code,n_obs_used,absolute magnitude,n,mean anomaly,time perihelion passage (tdb),spkid,pdes,pha_
       (2016 CD31),0.4543,0.46,240.5,12.69,0.57,1.52,6.0,7.0,61,26.9,0.9234,155.6,2459832.0,3742056,2016 CD31,0
       (2016 CE31),0.2512,2.73,120.86,277.54,0.777,1.3,7.0,6.0,37,27.6,0.9322,310.31,2460053.8,3742057,2016 CE31,0
       (2016 CF31),0.4788,15.16,146.66,211.16,0.566,1.6,2636.0,1.0,62,21.73,0.8719,180.9,2460205.92,3742059,2016 CF31,0
       (2016 CJ31),0.5764,4.62,132.12,300.92,0.83,3.09,4.0,8.0,9,27.6,0.3596,15.35,2457378.82,3742060,2016 CJ31,0
       (2016 CK31),0.2886,6.86,139.62,41.76,0.937,1.7,3.0,6.0,67,27.1,0.6519,215.89,2460221.54,3742061,2016 CK31,0
       (2016 CN31),0.5826,0.48,104.57,321.46,0.784,2.97,6.0,7.0,14,27.2,0.3831,285.31,2460195.48,3742062,2016 CN31,0
       (2016 CW31),0.3098,17.84,324.03,235.53,1.082,2.05,2399.0,0.0,109,21.5,0.5023,174.02,2459654.07,3742124,2016 CW31,0
       (2016 CX31),0.2087,34.72,311.31,212.74,1.279,1.95,39.0,7.0,21,22.6,0.4796,138.19,2459712.36,3742123,2016 CX31,0
       (2016 CY31),0.4393,4.84,164.65,13.91,1.103,2.83,84.0,5.0,76,24.2,0.3574,186.5,2460485.95,3742125,2016 CY31,0
       (2016 CZ31),0.4883,14.58,309.55,76.04,0.736,2.14,2361.0,2.0,67,22.05,0.5712,90.04,2459842.87,3742128,2016 CZ31,0
       (2016 CA32),0.7457,19.75,100.99,327.58,0.636,4.37,1517.0,1.0,71,19.7,0.249,295.31,2460260.26,3742127,2016 CA32,0
       (2016 CB32),0.5993,2.63,174.92,245.15,1.181,4.71,3660.0,0.0,247,18.7,0.1948,165.1,2459153.03,3742126,2016 CB32,0
       (2016 CC32),0.4993,9.85,35.18,138.55,1.24,3.71,1570.0,0.0,104,20.8,0.2528,275.98,2460332.83,3742135,2016 CC32,0
       (2016 CD32),0.3485,18.62,127.08,351.28,1.266,2.62,23.0,6.0,16,23.2,0.3637,225.74,2460369.61,3742129,2016 CD32,0
       (2016 CE32),0.3599,5.14,11.45,223.43,0.759,1.61,12.0,8.0,48,23.9,0.7629,304.93,2457499.69,3742130,2016 CE32,0
       (2016 CF32),0.257,4.86,31.93,93.81,1.107,1.87,49.0,7.0,39,23.7,0.5422,323.29,2460068.2,3742131,2016 CF32,0
       (2016 CH32),0.1777,23.0,320.88,176.76,1.143,1.64,12.0,8.0,53,23.9,0.6016,2.22,2457424.82,3742132,2016 CH32,0
       (2016 CJ32),0.2695,16.11,141.54,317.73,1.071,1.86,23.0,7.0,58,23.7,0.5549,10.1,2459982.3,3742134,2016 CJ32,0
       (2016 CY135),0.3538,1.1,173.49,26.57,0.953,2.0,190.0,4.0,95,24.5,0.5502,303.35,2460103.48,3742333,2016 CY135,0
       (2016 CZ135),0.4158,8.22,164.28,138.53,0.732,1.77,2595.0,1.0,88,20.73,0.7034,233.74,2460180.0,3742335,2016 CZ135,0
       (2016 CB136),0.497,21.5,48.16,332.91,1.125,3.35,2614.0,2.0,45,18.7,0.2947,95.64,2459676.0,3742337,2016 CB136,0
       (2016 CC136),0.0917,12.06,319.75,356.2,0.825,0.99,3.0,5.0,83,28.8,1.139,233.94,2460111.2,3742338,2016 CC136,0
       (2016 CD136),0.6302,0.82,187.69,258.36,0.913,4.03,16.0,8.0,24,26.0,0.254,9.86,2457385.67,3742339,2016 CD136,0
       (2016 CJ136),0.3794,28.9,127.23,160.94,0.662,1.47,330.0,3.0,29,21.6,0.8944,19.85,2459978.31,3742340,2016 CJ136,0
       (2016 CK136),0.2948,7.69,128.52,41.7,1.234,2.27,27.0,7.0,17,23.26,0.4257,358.53,2460003.96,3742341,2016 CK136,0
       (2016 CL136),0.6223,21.53,316.43,23.52,0.276,1.18,2571.0,0.0,223,21.36,1.581,211.39,2460094.48,3742342,2016 CL136,1
       (2016 CB137),0.2417,18.23,319.86,248.92,1.191,1.95,35.0,6.0,31,22.7,0.501,169.82,2459661.53,3742873,2016 CB137,0
       (2016 CC137),0.2612,43.22,139.61,3.45,1.087,1.86,4.0,9.0,41,24.5,0.5524,358.25,2457430.66,3742880,2016 CC137,0
       (2016 CD137),0.2336,4.55,137.9,94.39,0.83,1.34,10.0,6.0,110,26.1,0.8748,25.45,2459971.41,3742875,2016 CD137,0
       (2016 CE137),0.3678,28.54,330.05,116.24,1.088,2.35,38.0,6.0,92,21.6,0.4363,67.49,2459845.83,3742877,2016 CE137,0
       (2016 CF137),0.1,2.45,132.54,301.5,0.981,1.2,102.0,4.0,50,25.6,0.8655,124.5,2459856.65,3742876,2016 CF137,0
       (2016 CG137),0.2593,21.52,324.89,248.12,0.901,1.53,18.0,7.0,48,24.2,0.735,43.07,2459941.9,3742874,2016 CG137,0
       (2016 CH137),0.8118,8.11,316.24,79.46,0.444,4.28,4.0,7.0,71,25.8,0.2719,349.26,2460040.01,3742878,2016 CH137,0
       (2016 CJ137),0.4974,8.52,143.37,321.09,1.018,3.03,21.0,8.0,22,25.1,0.3419,10.74,2457396.09,3742879,2016 CJ137,0
       (2016 CK137),0.3464,0.79,314.65,95.43,0.767,1.58,8.0,7.0,30,27.3,0.7755,245.04,2460148.75,3742881,2016 CK137,0
       (2016 CL137),0.7106,0.76,151.93,251.23,0.555,3.28,6.0,8.0,47,25.8,0.3714,19.9,2457377.91,3742882,2016 CL137,0
       (2016 CM137),0.5529,3.2,307.57,145.7,0.924,3.21,8.0,7.0,51,25.8,0.3318,144.55,2459564.79,3742883,2016 CM137,0
       (2016 CV137),0.4729,6.16,127.83,31.46,0.985,2.75,5.0,8.0,14,27.2,0.3857,353.82,2457443.53,3743124,2016 CV137,0
       (2016 CW137),0.6538,37.68,133.03,316.25,0.833,3.98,1454.0,1.0,49,19.5,0.264,341.88,2460069.13,3743119,2016 CW137,1
       (2016 CX137),0.7398,16.7,100.94,167.55,0.583,3.9,271.0,4.0,61,19.7,0.2939,4.51,2459985.14,3743120,2016 CX137,0
       (2016 CY137),0.1678,29.1,139.45,339.75,1.026,1.44,4.0,7.0,36,26.5,0.7205,67.94,2459906.21,3743122,2016 CY137,0
       (2016 CZ137),0.489,11.42,324.4,86.79,0.687,2.0,19.0,7.0,60,24.9,0.6326,224.0,2460215.51,3743121,2016 CZ137,0
       (2016 CA138),0.049,27.73,328.91,326.87,0.95,1.05,2569.0,0.0,239,23.29,0.9871,224.96,2460137.3,3743123,2016 CA138,0
       (2016 CB138),0.466,2.96,139.85,12.27,1.022,2.81,90.0,6.0,271,23.7,0.3722,232.92,2460341.93,3743125,2016 CB138,0
       (2016 CY192),0.3153,2.24,310.21,179.33,1.051,2.02,52.0,6.0,31,24.0,0.5185,262.72,2460188.1,3743126,2016 CY192,0
       (2016 CZ192),0.2631,16.74,144.43,206.09,0.646,1.11,17.0,6.0,50,24.6,1.201,338.89,2460018.08,3743127,2016 CZ192,0
       (2016 CA193),0.0374,7.8,324.12,220.18,1.085,1.17,2204.0,0.0,83,24.87,0.8232,276.2,2460102.3,3743128,2016 CA193,0
       (2016 CC193),0.5509,25.07,144.3,46.39,1.074,3.71,38.0,6.0,85,21.7,0.2667,310.05,2460187.79,3743129,2016 CC193,0
       (2016 CU193),0.3561,49.89,322.38,323.11,0.948,2.0,964.0,2.0,85,20.04,0.5516,230.21,2460235.8,3743605,2016 CU193,1
