full_name,eccentricity,inclination (deg),node (deg),perihelion arg (deg),perihelion distance (au),aphelion distance (au),data_arc,condition_code,n_obs_used,absolute magnitude,n,mean anomaly,time perihelion passage (tdb),spkid,pdes,pha_
   433 Eros (A898 PA),0.2228,10.83,304.29,178.93,1.133,1.78,46582.0,0.0,9130,10.31,0.5598,110.78,2459802.6,20000433,433,0
   719 Albert (A911 TB),0.547,11.58,183.86,156.25,1.195,4.08,40483.0,0.0,2035,15.59,0.2301,10.24,2459956.02,20000719,719,0
   887 Alinda (A918 AA),0.5707,9.4,110.42,350.48,1.061,3.88,38459.0,0.0,3025,13.83,0.2535,188.04,2460678.79,20000887,887,0
  1036 Ganymed (A924 UB),0.533,26.69,215.5,132.47,1.245,4.09,36005.0,0.0,9680,9.22,0.2264,231.16,2460569.53,20001036,1036,0
  1221 Amor (1932 EA1),0.4358,11.88,171.32,26.63,1.083,2.76,32775.0,0.0,585,17.38,0.3708,49.38,2459867.32,20001221,1221,0
  1566 Icarus (1949 MA),0.8269,22.8,87.95,31.44,0.187,1.97,26991.0,0.0,1510,16.5,0.8804,352.55,2460008.96,20001566,1566,1
  1580 Betulia (1950 KA),0.487,52.1,62.26,159.55,1.127,3.27,26512.0,0.0,1509,14.69,0.3026,137.66,2459545.51,20001580,1580,0
  1620 Geographos (1951 RA),0.3355,13.34,337.17,276.96,0.828,1.66,26152.0,0.0,7984,15.32,0.7089,224.05,2460192.27,20001620,1620,1
  1627 Ivar (1929 SH),0.3965,8.45,133.12,167.81,1.125,2.6,34214.0,0.0,12483,12.74,0.3874,284.0,2460196.68,20001627,1627,0
  1685 Toro (1948 OA),0.436,9.38,274.22,127.23,0.771,1.96,27336.0,0.0,4301,14.31,0.6163,186.57,2460281.91,20001685,1685,0
  1862 Apollo (1932 HA),0.5599,6.35,35.56,286.06,0.647,2.29,33768.0,0.0,2889,16.11,0.5526,281.25,2460143.0,20001862,1862,1
  1863 Antinous (1948 EA),0.6058,18.4,346.42,268.07,0.891,3.63,27402.0,0.0,1105,15.44,0.2902,0.1,2460000.16,20001863,1863,0
  1864 Daedalus (1971 FA),0.6145,22.22,6.61,325.67,0.563,2.36,19016.0,0.0,4520,14.77,0.5582,59.37,2459894.14,20001864,1864,0
  1865 Cerberus (1971 UA),0.467,16.1,212.89,325.28,0.576,1.58,18260.0,0.0,2146,16.79,0.8782,161.48,2459816.62,20001865,1865,0
  1866 Sisyphus (1972 XA),0.5383,41.2,63.46,293.1,0.874,2.91,24959.0,0.0,7876,12.56,0.3782,122.45,2459676.75,20001866,1866,0
  1915 Quetzalcoatl (1953 EA),0.5704,20.4,162.94,347.8,1.093,3.99,18842.0,0.0,51,18.05,0.243,138.62,2459429.95,20001915,1915,0
  1916 Boreas (1953 RA),0.4498,12.88,340.6,335.89,1.25,3.29,25367.0,0.0,1919,14.95,0.2878,107.37,2459627.4,20001916,1916,0
  1917 Cuyo (1968 AA),0.5056,23.96,188.29,194.53,1.063,3.24,25223.0,0.0,3247,14.4,0.3127,207.3,2460488.84,20001917,1917,0
  1943 Anteros (1973 EC),0.256,8.71,246.31,338.36,1.064,1.8,17873.0,0.0,5018,15.71,0.5761,44.36,2459923.5,20001943,1943,0
  1980 Tezcatlipoca (1950 LA),0.3648,26.87,246.55,115.48,1.086,2.33,26629.0,0.0,6739,13.78,0.4409,130.55,2459704.43,20001980,1980,0
  1981 Midas (1973 EA),0.65,39.83,356.85,267.82,0.622,2.93,17760.0,0.0,1077,15.28,0.4162,9.03,2459978.8,20001981,1981,1
  2059 Baboquivari (1963 UA),0.5318,11.02,200.69,192.44,1.237,4.05,21402.0,0.0,1462,15.98,0.2295,273.62,2460376.95,20002059,2059,0
  2061 Anza (1960 UA),0.536,3.8,207.36,157.06,1.051,3.48,22802.0,0.0,1883,16.7,0.2892,109.83,2459620.72,20002061,2061,0
  2062 Aten (1976 AA),0.1828,18.93,108.54,148.05,0.79,1.14,23339.0,0.0,1024,17.11,1.037,76.11,2459927.07,20002062,2062,0
  2063 Bacchus (1977 HB),0.3494,9.43,33.06,55.35,0.701,1.45,16827.0,0.0,969,17.25,0.8804,74.23,2459916.18,20002063,2063,0
  2100 Ra-Shalom (1978 RA),0.4366,15.76,170.78,356.08,0.469,1.2,17246.0,0.0,3786,16.23,1.299,30.42,2459977.07,20002100,2100,0
  2101 Adonis (1936 CA),0.7643,1.32,349.47,43.63,0.442,3.31,30790.0,0.0,123,18.72,0.3842,0.33,2459999.65,20002101,2101,1
  2102 Tantalus (1975 YA),0.2993,64.0,94.35,61.53,0.904,1.68,17309.0,0.0,1612,15.98,0.6726,34.65,2459948.98,20002102,2102,1
  2135 Aristaeus (1977 HA),0.5029,23.07,191.12,290.97,0.795,2.4,15749.0,1.0,61,18.05,0.4871,270.07,2460185.13,20002135,2135,1
  2201 Oljato (1947 XC),0.7121,2.52,74.91,98.38,0.627,3.73,33176.0,0.0,1175,15.35,0.3069,150.4,2459510.47,20002201,2201,1
  2202 Pele (1972 RA),0.5127,8.74,169.93,217.93,1.117,3.47,18101.0,0.0,324,17.14,0.2842,185.36,2460615.0,20002202,2202,0
  2212 Hephaistos (1978 SB),0.8373,11.54,27.5,209.41,0.351,3.97,16187.0,0.0,3439,13.52,0.3105,359.54,2460001.97,20002212,2212,0
  2329 Orthos (1976 WA),0.6537,24.47,169.28,146.08,0.834,3.98,17095.0,0.0,1811,14.57,0.2635,167.91,2459363.27,20002329,2329,0
  2340 Hathor (1976 UA),0.4499,5.86,211.31,40.09,0.464,1.22,16477.0,0.0,572,20.35,1.272,10.46,2459992.27,20002340,2340,1
  2368 Beltrovata (1977 RA),0.4133,5.22,287.31,43.12,1.235,2.98,16682.0,0.0,1553,15.19,0.3227,324.94,2460109.14,20002368,2368,0
  2608 Seneca (1978 DA),0.5701,14.64,167.3,37.65,1.085,3.96,16284.0,1.0,83,17.48,0.2459,126.45,2459486.24,20002608,2608,0
  3102 Krok (1981 QA),0.4496,8.44,172.05,154.8,1.184,3.12,15121.0,0.0,2311,16.17,0.3125,54.24,2459826.92,20003102,3102,0
  3103 Eger (1982 BB),0.3543,20.93,129.74,254.09,0.907,1.9,14756.0,0.0,7800,15.25,0.5925,308.67,2460087.13,20003103,3103,0
  3122 Florence (1981 ET3),0.4232,22.14,336.06,27.87,1.02,2.52,16142.0,0.0,8125,13.92,0.4189,109.37,2459739.44,20003122,3122,1
  3199 Nefertiti (1982 RA),0.2842,32.96,339.99,53.41,1.127,2.02,14858.0,0.0,3441,14.96,0.4988,139.65,2459720.52,20003199,3199,0
  3200 Phaethon (1983 TB),0.8899,22.27,265.17,322.22,0.14,2.4,14244.0,0.0,5620,14.4,0.6876,196.51,2460238.29,20003200,3200,1
  3271 Ul (1982 RB),0.396,25.08,158.81,159.1,1.269,2.93,14744.0,0.0,239,16.58,0.3236,110.43,2459659.29,20003271,3271,0
  3288 Seleucus (1982 DV),0.4563,5.93,218.62,349.28,1.105,2.96,14650.0,0.0,2174,15.35,0.3401,37.3,2459890.82,20003288,3288,0
  3352 McAuliffe (1981 CW),0.3691,4.77,107.33,16.12,1.185,2.57,15445.0,0.0,2310,15.95,0.3827,118.13,2459691.85,20003352,3352,0
  3360 Syrinx (1981 VA),0.7456,21.14,242.48,63.56,0.627,4.31,15056.0,0.0,563,16.05,0.2544,257.0,2460405.38,20003360,3360,0
  3361 Orpheus (1982 HR),0.3229,2.66,188.68,302.36,0.82,1.6,14537.0,0.0,2729,19.39,0.7401,300.45,2460080.97,20003361,3361,1
  3362 Khufu (1984 QA),0.4686,9.92,152.42,55.05,0.526,1.45,7394.0,1.0,262,18.52,1.001,119.11,2459881.54,20003362,3362,1
  3551 Verenia (1983 RD),0.4874,9.51,173.78,193.29,1.073,3.11,14175.0,0.0,570,16.71,0.3256,7.72,2459976.79,20003551,3551,0
  3552 Don Quixote (1983 SA),0.7081,31.09,349.93,316.6,1.245,7.28,14389.0,0.0,1376,13.07,0.1119,196.33,2461463.05,20003552,3552,0
  3553 Mera (1985 JA),0.3201,36.78,232.49,288.94,1.118,2.17,13897.0,0.0,1192,16.43,0.4673,9.22,2459980.78,20003553,3553,0
  3554 Amun (1986 EB),0.2807,23.36,358.61,359.42,0.701,1.25,11979.0,0.0,1692,15.91,1.025,331.36,2460028.43,20003554,3554,0
  3671 Dionysus (1984 KD),0.541,13.53,82.07,204.3,1.009,3.39,14242.0,0.0,953,16.57,0.3022,310.24,2460165.17,20003671,3671,1
  3691 Bede (1982 FT),0.2841,20.36,348.74,234.92,1.27,2.28,17263.0,0.0,7276,14.8,0.4169,95.07,2459772.49,20003691,3691,0
  3752 Camillo (1985 PA),0.3015,55.56,147.96,312.23,0.987,1.84,17288.0,0.0,2538,15.22,0.5864,16.91,2459971.66,20003752,3752,0
  3753 Cruithne (1986 TO),0.515,19.8,126.21,43.87,0.484,1.51,17902.0,0.0,1216,15.5,0.989,75.42,2459924.24,20003753,3753,0
  3757 Anagolay (1982 XB),0.4456,3.87,74.93,17.22,1.017,2.65,14759.0,0.0,198,19.04,0.3965,55.76,2459859.88,20003757,3757,1
  3838 Epona (1986 WA),0.7023,29.2,235.47,49.73,0.448,2.56,13252.0,0.0,875,15.71,0.5338,265.46,2460177.6,20003838,3838,0
  3908 Nyx (1980 PA),0.4594,2.19,261.21,126.63,1.042,2.81,15264.0,0.0,1947,17.46,0.3683,304.73,2460150.54,20003908,3908,0
  3988 Huma (1986 LA),0.3166,10.77,229.79,86.96,1.056,2.03,13056.0,0.0,562,17.95,0.5135,8.21,2459984.51,20003988,3988,0
  4015 Wilson-Harrington (1979 VA),0.6317,2.8,266.77,95.45,0.967,4.28,26813.0,0.0,1660,16.19,0.2318,42.73,2459816.16,20004015,4015,1
  4034 Vishnu (1986 PA),0.444,11.17,157.9,296.7,0.589,1.53,13162.0,0.0,686,18.52,0.9036,78.21,2459913.95,20004034,4034,1
  4055 Magellan (1985 DO2),0.3262,23.26,164.82,154.44,1.227,2.41,13710.0,0.0,10221,14.77,0.4013,26.43,2459934.64,20004055,4055,0
  4179 Toutatis (1989 AC),0.6246,0.45,125.3,277.89,0.955,4.13,32611.0,0.0,6652,15.32,0.2428,194.0,2460684.1,20004179,4179,1
  4183 Cuno (1959 LM),0.636,6.67,294.35,237.04,0.721,3.24,23290.0,0.0,3384,14.18,0.3534,323.78,2460102.97,20004183,4183,1
  4197 Morpheus (1982 TA),0.7724,12.6,7.01,122.57,0.522,4.07,24822.0,0.0,1003,15.03,0.2836,186.91,2460610.79,20004197,4197,0
  4257 Ubasti (1987 QA),0.4683,40.72,169.16,278.94,0.876,2.42,12738.0,0.0,966,16.07,0.4663,241.2,2460255.26,20004257,4257,0
  4341 Poseidon (1987 KF),0.68,11.84,108.04,15.84,0.587,3.08,12852.0,0.0,777,16.08,0.3969,165.89,2459582.55,20004341,4341,0
  4401 Aditi (1985 TB),0.5632,26.63,22.79,68.12,1.129,4.04,13625.0,0.0,1245,16.12,0.2374,351.15,2460037.77,20004401,4401,0
  4450 Pan (1987 SY),0.5867,5.52,311.77,291.84,0.596,2.29,31367.0,0.0,1513,17.28,0.5691,210.79,2460262.67,20004450,4450,1
  4486 Mithra (1987 SB),0.6625,3.04,82.24,168.89,0.743,3.66,13222.0,0.0,1448,15.62,0.302,336.11,2460079.6,20004486,4486,1
  4487 Pocahontas (1987 UA),0.2966,16.41,198.11,173.98,1.217,2.24,13024.0,0.0,768,17.48,0.4329,196.07,2460379.16,20004487,4487,0
  4503 Cleobulus (1989 WM),0.5243,2.51,45.96,76.25,1.286,4.12,14766.0,0.0,1247,15.82,0.2217,154.69,2459302.74,20004503,4503,0
  4544 Xanthus (1989 FB),0.2502,14.14,23.96,333.86,0.781,1.3,12471.0,0.0,1797,17.39,0.9267,158.44,2459829.53,20004544,4544,0
  4581 Asclepius (1989 FC),0.3569,4.92,180.21,255.36,0.658,1.39,11706.0,0.0,424,20.74,0.9531,0.25,2460000.24,20004581,4581,1
  4596 (1981 QB),0.5199,37.07,154.22,248.37,1.075,3.4,15205.0,0.0,899,16.46,0.294,113.83,2459613.38,20004596,4596,0
  4660 Nereus (1982 DB),0.3588,1.45,313.14,159.52,0.952,2.02,14853.0,0.0,4944,18.65,0.5446,225.22,2460247.98,20004660,4660,1
  4688 (1980 WF),0.5179,6.38,241.23,213.82,1.076,3.39,14739.0,0.0,332,19.6,0.2955,228.01,2460447.08,20004688,4688,0
  4769 Castalia (1989 PB),0.4831,8.89,325.53,121.41,0.55,1.58,12350.0,0.0,366,17.53,0.899,144.62,2459839.64,20004769,4769,1
  4947 Ninkasi (1988 TJ1),0.1684,15.65,215.43,192.93,1.139,1.6,16535.0,0.0,816,18.07,0.6145,135.81,2459779.5,20004947,4947,0
  4953 (1990 MU),0.6574,24.38,77.53,77.95,0.555,2.69,17836.0,0.0,2320,14.87,0.4774,358.51,2460003.63,20004953,4953,1
  4954 Eric (1990 SQ),0.4492,17.43,358.42,52.57,1.103,2.9,17515.0,0.0,4072,12.57,0.348,139.11,2459600.81,20004954,4954,0
  4957 Brucemurray (1990 XJ),0.2188,35.01,254.88,97.49,1.223,1.91,17235.0,0.0,1812,14.97,0.5032,208.55,2460301.5,20004957,4957,0
  5011 Ptah (6743 P-L),0.5001,7.41,10.64,105.95,0.818,2.45,22522.0,0.0,629,16.71,0.4711,251.08,2460231.74,20005011,5011,1
  5131 (1990 BG),0.569,36.43,110.38,135.83,0.641,2.33,15791.0,0.0,2066,14.86,0.544,31.68,2459942.27,20005131,5131,0
  5143 Heracles (1991 VL),0.7719,9.0,309.36,227.96,0.419,3.25,25193.0,0.0,3804,14.1,0.3966,167.68,2459577.7,20005143,5143,0
  5189 (1990 UQ),0.478,3.58,135.07,159.95,0.81,2.29,11884.0,0.0,1585,17.84,0.5098,311.68,2460095.28,20005189,5189,1
  5324 Lyapunov (1987 SL),0.6047,19.62,352.25,321.14,1.18,4.79,12621.0,0.0,247,15.45,0.1912,347.12,2460067.89,20005324,5324,0
  5332 Davidaguilar (1990 DA),0.4553,25.52,142.78,306.06,1.178,3.15,17794.0,0.0,5608,14.87,0.3097,153.71,2459504.21,20005332,5332,0
  5370 Taranis (1986 RA),0.6371,19.17,177.8,161.35,1.205,5.44,13073.0,0.0,351,15.24,0.1628,352.95,2460043.83,20005370,5370,0
  5381 Sekhmet (1991 JY),0.2964,48.97,58.53,37.42,0.667,1.23,9438.0,0.0,416,16.75,1.069,277.91,2460077.32,20005381,5381,0
  5496 (1973 NA),0.6353,68.0,101.05,118.01,0.888,3.98,17771.0,0.0,232,16.15,0.2593,39.72,2459847.32,20005496,5496,0
  5587 (1990 SB),0.544,18.09,189.92,86.81,1.093,3.7,25371.0,0.0,4240,13.9,0.2654,304.81,2460208.42,20005587,5587,0
  5590 (1990 VA),0.2795,14.19,216.28,34.49,0.71,1.26,2218.0,2.0,67,19.91,1.007,141.55,2459859.96,20005590,5590,0
  5604 (1992 FE),0.4061,4.72,311.9,82.66,0.551,1.31,16041.0,0.0,977,17.38,1.101,329.07,2460028.58,20005604,5604,1
  5620 Jasonwheeler (1990 OA),0.4225,7.87,128.65,153.8,1.247,3.07,24671.0,0.0,536,17.12,0.3107,105.55,2459660.78,20005620,5620,0
  5626 Melissabrucker (1991 FE),0.4548,3.85,173.1,231.81,1.196,3.19,19253.0,0.0,4156,14.35,0.3032,18.25,2459940.3,20005626,5626,0
  5645 (1990 SP),0.3872,13.51,45.71,48.27,0.83,1.88,17131.0,0.0,1256,17.21,0.6252,149.41,2459761.53,20005645,5645,0
  5646 (1990 TR),0.4361,7.91,14.1,335.76,1.209,3.08,12008.0,0.0,2329,15.51,0.3141,126.59,2459597.46,20005646,5646,0
  5653 Camarillo (1992 WD5),0.3046,6.88,9.89,122.65,1.247,2.34,17635.0,0.0,3369,16.24,0.4102,177.86,2459566.94,20005653,5653,0
  5660 (1974 MA),0.7619,38.13,302.15,127.01,0.425,3.15,16737.0,0.0,295,15.52,0.4131,110.22,2459733.7,20005660,5660,0
  5693 (1993 EA),0.5852,5.06,96.99,258.97,0.527,2.01,14375.0,0.0,2605,16.79,0.6882,150.23,2459782.18,20005693,5693,1
  5731 Zeus (1988 VP4),0.6519,11.2,280.59,218.45,0.789,3.74,12675.0,0.0,1235,15.48,0.2889,352.93,2460024.98,20005731,5731,0
  5751 Zao (1992 AC),0.4252,16.07,121.63,25.5,1.208,3.0,12035.0,0.0,2430,14.97,0.3235,60.14,2459814.58,20005751,5751,0
  5786 Talos (1991 RC),0.8269,23.24,161.3,8.38,0.187,1.98,10659.0,0.0,1100,17.22,0.8764,111.74,2459873.0,20005786,5786,0
  5797 Bivoj (1980 AA),0.4443,4.19,298.93,168.65,1.052,2.73,23940.0,0.0,523,18.89,0.3783,202.38,2460417.14,20005797,5797,0
  5828 (1991 AM),0.6949,30.12,125.42,152.77,0.518,2.88,14697.0,0.0,921,16.03,0.4456,150.29,2459663.21,20005828,5828,0
  5836 (1993 MF),0.5365,7.95,238.73,78.05,1.131,3.75,15337.0,0.0,1924,15.0,0.2584,264.54,2460369.86,20005836,5836,0
  5863 Tara (1983 RB),0.5054,19.49,168.89,115.52,1.099,3.35,14088.0,0.0,1104,15.85,0.2975,348.43,2460039.38,20005863,5863,0
  5869 Tanith (1988 VN4),0.3211,17.93,227.85,230.83,1.23,2.39,16826.0,0.0,859,17.22,0.404,350.02,2460025.19,20005869,5869,0
  5879 Almeria (1992 CH1),0.289,21.57,145.83,355.81,1.155,2.09,11433.0,0.0,1657,17.62,0.476,357.49,2460005.78,20005879,5879,0
  6037 (1988 EG),0.4996,3.5,182.36,242.18,0.636,1.91,12142.0,0.0,540,19.0,0.6877,197.21,2460237.22,20006037,6037,1
  6047 (1991 TB1),0.3521,23.48,6.08,103.81,0.942,1.97,13449.0,0.0,807,17.85,0.5618,265.32,2460169.02,20006047,6047,0
  6050 Miwablock (1992 AE),0.4371,6.4,88.17,285.01,1.24,3.17,25668.0,0.0,2276,15.01,0.3015,212.29,2460490.4,20006050,6050,0
  6053 (1993 BW3),0.5287,21.58,318.24,74.91,1.012,3.28,16765.0,0.0,3015,14.92,0.3133,254.05,2460338.69,20006053,6053,0
  6063 Jason (1984 KB),0.7625,4.96,169.06,337.6,0.528,3.91,22620.0,0.0,1238,16.04,0.2977,281.21,2460265.12,20006063,6063,0
  6178 (1986 DA),0.5843,4.31,64.5,127.45,1.17,4.46,16597.0,0.0,1115,15.78,0.2086,289.61,2460337.86,20006178,6178,0
  6239 Minos (1989 QF),0.4126,3.94,344.57,239.7,0.676,1.63,13876.0,0.0,1433,18.61,0.798,105.64,2459868.12,20006239,6239,1
  6455 (1992 HE),0.5724,37.34,26.9,262.81,0.958,3.52,12196.0,0.0,4612,14.02,0.2938,53.6,2459818.07,20006455,6455,0
  6456 Golombek (1992 OM),0.4093,8.22,313.58,347.14,1.295,3.09,15849.0,0.0,1793,16.0,0.3037,152.89,2459497.02,20006456,6456,0
  6489 Golevka (1991 JX),0.6123,2.27,209.47,68.67,0.963,4.01,8968.0,0.0,1017,19.22,0.2516,1.14,2459995.97,20006489,6489,1
  6491 (1991 OA),0.5903,5.95,301.89,323.64,1.025,3.98,10431.0,0.0,190,18.74,0.2492,353.53,2460026.46,20006491,6491,1
  6569 Ondaatje (1993 MO),0.2208,22.64,111.47,167.35,1.267,1.99,14171.0,0.0,4963,16.66,0.4753,103.83,2459782.03,20006569,6569,0
  6611 (1993 VW),0.4847,8.7,230.77,281.63,0.874,2.52,14799.0,0.0,1218,16.91,0.4462,47.23,2459894.65,20006611,6611,0
  7025 (1993 QA),0.3149,12.61,146.6,323.47,1.011,1.94,10876.0,0.0,940,18.08,0.5497,44.85,2459918.91,20007025,7025,0
  7088 Ishtar (1992 AA),0.3899,8.3,102.61,354.77,1.209,2.75,15427.0,0.0,1376,16.84,0.3534,59.72,2459831.5,20007088,7088,0
  7092 Cadmus (1992 LC),0.6944,17.78,56.78,94.78,0.778,4.31,15476.0,0.0,1155,15.13,0.2429,244.89,2460474.4,20007092,7092,0
  7236 (1987 PA),0.559,16.33,308.5,337.93,1.202,4.25,9934.0,0.0,164,18.33,0.2191,335.63,2460111.71,20007236,7236,0
  7335 (1989 JA),0.4846,15.17,61.28,232.3,0.913,2.63,12317.0,0.0,2526,17.7,0.4179,98.36,2459765.13,20007335,7335,1
  7336 Saunders (1989 RS1),0.4816,7.2,174.47,181.51,1.196,3.42,12871.0,0.0,903,18.91,0.2814,196.93,2460579.93,20007336,7336,0
  7341 (1991 VK),0.506,5.41,294.74,173.49,0.91,2.77,11581.0,0.0,2343,16.96,0.3945,161.16,2459592.0,20007341,7341,1
  7350 (1993 VA),0.3911,7.26,133.11,336.66,0.826,1.89,21091.0,0.0,1393,17.29,0.6242,169.22,2459729.39,20007350,7350,0
  7358 Oze (1995 YA3),0.5023,4.66,265.45,92.27,1.094,3.3,23151.0,0.0,7375,14.76,0.3023,170.45,2459436.6,20007358,7358,0
  7474 (1992 TC),0.2922,7.09,88.61,275.65,1.108,2.02,11963.0,0.0,462,18.11,0.5031,187.68,2460343.05,20007474,7474,0
  7480 Norwan (1994 PC),0.317,9.45,124.37,256.85,1.071,2.06,14995.0,0.0,1190,17.24,0.502,156.96,2459687.85,20007480,7480,0
  7482 (1994 PC1),0.3294,33.47,117.86,47.49,0.904,1.79,17476.0,0.0,1430,16.66,0.6292,228.98,2460208.73,20007482,7482,1
  7753 (1988 XB),0.4816,3.12,73.39,280.07,0.76,2.17,12528.0,0.0,1296,18.02,0.5547,123.1,2459778.57,20007753,7753,1
  7822 (1991 CS),0.1646,37.12,156.85,249.44,0.938,1.31,11768.0,0.0,3874,17.3,0.8285,45.25,2459945.89,20007822,7822,1
  7839 (1994 ND),0.5186,27.11,102.51,228.35,1.042,3.29,9038.0,0.0,190,17.85,0.3094,342.28,2460057.79,20007839,7839,0
  7888 (1993 UC),0.6633,26.09,165.9,323.04,0.82,4.05,12018.0,0.0,1286,15.19,0.2591,228.68,2460507.27,20007888,7888,0
  7889 (1994 LX),0.3462,36.91,111.27,349.17,0.825,1.7,16475.0,0.0,4879,15.14,0.6955,279.77,2460115.85,20007889,7889,0
  7977 (1977 QQ5),0.4663,25.16,134.14,248.09,1.188,3.26,24904.0,0.0,1508,15.18,0.2967,235.25,2460420.93,20007977,7977,0
  8013 Gordonmoore (1990 KA),0.4313,7.57,105.56,146.74,1.251,3.15,25658.0,0.0,752,17.1,0.3021,10.21,2459966.69,20008013,8013,0
  8014 (1990 MF),0.4562,1.87,209.84,114.76,0.95,2.54,11615.0,0.0,1269,18.88,0.4268,35.33,2459917.73,20008014,8014,1
  8034 Akka (1992 LR),0.4092,2.02,232.83,68.21,1.081,2.58,11174.0,0.0,637,18.02,0.3982,126.12,2459683.8,20008034,8034,0
  8035 (1992 TB),0.4626,28.31,185.62,6.1,0.721,1.96,11188.0,0.0,1110,17.11,0.634,353.36,2460010.98,20008035,8035,0
  8037 (1993 HO1),0.4175,5.91,22.39,105.71,1.158,2.82,15911.0,0.0,1776,16.63,0.3519,280.27,2460227.11,20008037,8037,0
  8176 (1991 WA),0.6431,39.59,66.5,241.9,0.562,2.59,11443.0,0.0,798,17.03,0.4987,321.57,2460077.57,20008176,8176,0
  8201 (1994 AH2),0.7067,9.55,164.1,25.11,0.744,4.33,14650.0,0.0,849,15.95,0.2437,53.24,2459782.05,20008201,8201,0
  8507 (1991 CB1),0.5945,14.59,317.41,345.79,0.684,2.69,11686.0,0.0,584,17.21,0.4498,99.51,2459779.29,20008507,8507,0
  8566 (1996 EN),0.4303,37.98,164.12,125.14,0.858,2.15,14503.0,0.0,3357,16.32,0.5332,130.22,2459756.26,20008566,8566,1
  8567 (1996 HW1),0.4495,8.45,177.1,177.31,1.126,2.96,24476.0,0.0,4996,15.35,0.337,337.32,2460067.8,20008567,8567,0
  8709 Kadlu (1994 JF1),0.489,3.52,119.24,153.64,1.293,3.77,11568.0,0.0,526,17.08,0.245,35.44,2459855.86,20008709,8709,0
  9058 (1992 JB),0.3597,16.09,218.3,307.1,0.997,2.12,11458.0,0.0,859,17.91,0.5075,340.34,2460039.23,20009058,9058,0
  9162 Kwiila (1987 OA),0.5955,9.01,180.01,235.8,0.605,2.39,13083.0,0.0,769,18.02,0.5383,114.33,2459788.1,20009162,9162,0
  9172 Abhramu (1989 OB),0.5529,7.84,287.62,74.1,1.211,4.21,11929.0,0.0,395,16.65,0.221,185.88,2460788.46,20009172,9172,0
  9202 (1993 PB),0.6077,40.8,315.9,212.36,0.559,2.29,10702.0,0.0,1825,16.04,0.5801,236.96,2460212.61,20009202,9202,0
  9400 (1994 TW1),0.5808,36.0,3.36,62.14,1.085,4.09,10679.0,0.0,1868,14.86,0.2368,269.1,2460384.3,20009400,9400,0
  9856 (1991 EE),0.6259,9.83,168.1,116.21,0.839,3.65,11638.0,0.0,1304,17.11,0.2936,138.39,2459529.18,20009856,9856,1
  9950 ESA (1990 VB),0.5329,14.59,253.47,103.57,1.139,3.74,11848.0,0.0,777,16.21,0.2588,175.83,2459321.12,20009950,9950,0
 10115 (1992 SK),0.3248,15.32,8.9,233.64,0.843,1.65,24655.0,0.0,1619,17.16,0.7066,20.66,2459971.26,20010115,10115,1
 10145 (1994 CK1),0.6329,4.55,328.4,27.41,0.698,3.1,10638.0,0.0,1351,17.01,0.3761,122.82,2459673.91,20010145,10145,0
 10150 (1994 PN),0.544,45.94,112.98,234.03,1.083,3.67,10521.0,0.0,1009,15.48,0.2692,266.15,2460349.11,20010150,10150,0
 10165 (1995 BL2),0.5037,23.9,312.43,348.46,0.613,1.86,11356.0,0.0,893,17.43,0.7184,20.63,2459971.78,20010165,10165,0
 10302 (1989 ML),0.1369,4.38,104.28,183.62,1.099,1.45,12250.0,0.0,1151,19.45,0.6864,155.13,2459774.49,20010302,10302,0
 10563 Izhdubar (1993 WD),0.2663,63.46,56.56,132.19,0.739,1.27,11187.0,0.0,630,16.94,0.9756,241.47,2460122.0,20010563,10563,0
 10636 (1998 QK56),0.5126,13.58,172.94,286.31,0.919,2.85,24455.0,0.0,805,17.7,0.381,130.6,2459657.72,20010636,10636,0
 10860 (1995 LE),0.5744,4.15,257.22,75.49,1.098,4.06,9361.0,0.0,303,17.32,0.238,233.59,2460531.57,20010860,10860,0
 11054 (1991 FA),0.4466,3.08,339.06,92.33,1.095,2.86,31221.0,0.0,1297,17.08,0.354,221.63,2460391.32,20011054,11054,0
 11066 Sigurd (1992 CC1),0.3755,36.88,349.23,22.01,0.869,1.91,17210.0,0.0,1981,15.23,0.6004,74.94,2459875.69,20011066,11066,0
 11284 Belenus (1990 BA),0.3374,1.99,311.73,171.15,1.153,2.33,26037.0,0.0,752,18.26,0.4295,146.71,2459658.9,20011284,11284,0
 11311 Peleus (1993 XN2),0.5359,25.49,59.32,313.42,0.983,3.25,10754.0,0.0,668,15.91,0.3199,194.58,2460517.59,20011311,11311,0
 11398 (1998 YP11),0.3893,15.02,144.75,74.75,1.051,2.39,14565.0,0.0,3227,16.41,0.4366,204.97,2460355.56,20011398,11398,0
 11405 (1999 CV3),0.3939,22.86,141.26,96.38,0.885,2.03,16179.0,0.0,6605,15.19,0.5589,178.51,2459681.14,20011405,11405,0
 11500 Tomaiyowit (1989 UR),0.3559,10.31,234.4,289.51,0.695,1.46,10889.0,0.0,1243,18.37,0.8784,156.6,2459822.22,20011500,11500,1
 11885 Summanus (1990 SS),0.4745,19.43,359.78,116.22,0.895,2.51,11552.0,0.0,394,18.52,0.4434,153.28,2459654.83,20011885,11885,0
 12538 (1998 OH),0.4063,24.54,220.7,321.79,0.915,2.17,11554.0,0.0,10859,15.91,0.515,8.07,2459984.84,20012538,12538,1
